Company	Valuation ($B)	Date Joined	Country	Industry	Select Investors -- this data from https://www.cbinsights.com/research-unicorn-companies
VANCL	$3	12/14/2010	China	eCommerce/Marketplace	Ceyuan Ventures, QiMing Venture Partners, Temasek Holdings
Vice Media	$4	8/17/2013	USA	Media	Technology Crossover Ventures, A&E Television Networks
Vox Media	$1	8/12/2015	USA	Media	Accel Partners, Comcast Ventures, General Atlantic
Warby Parker	$1.2	4/30/2015	USA	eCommerce/Marketplace	BoxGroup, Felicis Ventures, First Round Capital
WeWork	$16	2/3/2014	USA	Facilities	T. Rowe Price, Benchmark Capital, Wellington Management
Xiaohongshu	$1	3/31/2016	China	eCommerce/Marketplace	GGV Capital, ZhenFund, Tencent
Xiaomi	$46	12/21/2011	China	Hardware	Digital Sky Technologies, QiMing Venture Partners, Qualcomm Ventures
Xuanyixia	$1	11/24/2015	China	Social	Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures
Yello Mobile	$4	11/11/2014	South Korea	Mobile Software & Services	Formation 8
Zenefits	$4.5	5/6/2015	USA	Fintech	SV Angel, Institutional Venture Partners, Venrock
Zeta Interactive	$1	7/15/2015	USA	Internet Software & Services	GSO Capital Partners, Franklin Square
Zhangyue	$1	1/4/2016	China	Hardware	Guo Jin Capital, Alpha Animation & Culture
ZhongAn	$8	6/11/2015	China	Fintech	SAIF partners, CDH Investments, Morgan Stanley
ZocDoc	$1.8	8/20/2015	USA	Healthcare	Founders Fund, Khosla Ventures, Goldman Sachs
Zomato	$1	4/10/2015	India	Social	Sequoia Capital, VY Capital
Zscaler	$1	8/3/2015	USA	Cybersecurity	TPG Growth, Lightspeed Venture Partners
ironSource	$1.5	8/11/2014	Israel	Mobile Software & Services	Access Industries, Clal Industries and Investments
